Serial No.,Student Name,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admitted
1,Lakshmi Gagrani ,337,118,4,4.5,4.5,9.65,1,Y
2,Vikrant Johal ,324,107,4,4,4.5,8.87,1,N
3,Kim Sabharwal ,316,104,3,3,3.5,8,1,N
4,Munni Dani ,322,110,3,3.5,2.5,8.67,1,N
5,Madhu Iyengar ,314,103,2,2,3,8.21,0,N
6,Damini Varghese ,330,115,5,4.5,3,9.34,1,Y
7,Gunjan Chad ,321,109,3,3,4,8.2,1,N
8,Deepesh Contractor ,308,101,2,3,4,7.9,0,N
9,Maya Merchant ,302,102,1,2,1.5,8,0,N
10,Alka Dugal ,323,108,3,3.5,3,8.6,0,N
11,Binod Bose ,325,106,3,3.5,4,8.4,1,N
12,Charandeep Apte ,327,111,4,4,4.5,9,1,N
13,Ajinkya Chada ,328,112,4,4,4.5,9.1,1,N
14,Sunita Amin ,307,109,3,4,3,8,1,N
15,Uday Thomas ,311,104,3,3.5,2,8.2,1,N
16,Anjana Nazareth ,314,105,3,3.5,2.5,8.3,0,N
17,Madhavi Pal ,317,107,3,4,3,8.7,0,N
18,Chhaya Bhavsar ,319,106,3,4,3,8,1,N
19,Damini Saran ,318,110,3,4,3,8.8,0,N
20,Nalini Bhavsar ,303,102,3,3.5,3,8.5,0,N
21,Neerendra Bose ,312,107,3,3,2,7.9,1,N
22,Habib Pradhan ,325,114,4,3,2,8.4,0,N
23,Mohan Tiwari ,328,116,5,5,5,9.5,1,Y
24,Sabina Jaggi ,334,119,5,5,4.5,9.7,1,Y
25,Sona Viswanathan ,336,119,5,4,3.5,9.8,1,Y
26,Esha Trivedi ,340,120,5,4.5,4.5,9.6,1,Y
27,Ehsaan Pandya ,322,109,5,4.5,3.5,8.8,0,N
28,Kunti Bumb ,298,98,2,1.5,2.5,7.5,1,N
29,Babita Mahal ,295,93,1,2,2,7.2,0,N
30,Nandini Gandhi ,310,99,2,1.5,2,7.3,0,N
31,Nupoor Dad ,300,97,2,3,3,8.1,1,N
